GOID	GO_term	Cluster frequency	Background frequency	Corrected P-value	False discovery rate	Gene(s) annotated to the term	Directly Annotated GOID List
44281	small molecule metabolic process	"238 out of 1583 genes, 15.0%"	"713 out of 6473 background genes, 11.0%"	1.98E-05	0.00%	LEU4:C1_00410C_A:ABC1:LSC1:C1_02320C_A:PMM1:SNZ1:HOM6:LYS2:COQ4:ECM33:EHT1:POR1:ACS2:GPM2:ICL1:ATP1:ERG3:RIB4:PHO87:CHS7:PGA63:CPH1:ATP7:ADE4:C1_07840W_A:UPC2:C1_08490W_A:ENO1:SEC24:C1_08780W_A:HEM14:ADE12:MLS1:GLY1:LKH1:C1_11080W_A:ARO7:C1_11610C_A:DPP2:C1_13030C_A:C1_13270W_A:CYB2:ACT1:MET3:C1_13880C_A:C2_00180C_A:ARO8:MXR1:HGT7:ERG28:C2_01160W_A:DCW1:CTF1:HOM2:BNA31:ALD5:RNR21:RNR1:GPM1:C2_03360W_A:GNA1:UGA1:LYS22:AAT1:CDC19:IDP1:C2_05980C_A:C2_06040C_A:ILV1:SPF1:VAS1:SPE3:ARA1:C2_08160C_A:IPP1:GLO2:PMI1:FCY21:C2_10060C_A:C2_10460C_A:DAL1:ETR1:C3_00640W_A:FOX2:ALG8:ILV2:SLD1:C3_02850C_A:THI6:PTR22:ATF1:C3_05760W_A:HAL3:HNT2:LYS9:C3_06860C_A:TDH3:C3_06950W_A:PRO2:GCY1:TPI1:C3_07670W_A:SEC61:FBP1:HIS4:PEX5:MET15:ATP2:HIS5:ILV6:ERG251:CPA1:FBA1:TYR1:MDH1-1:AMS1:ARG83:RGT1:C4_02620C_A:NCP1:VTC4:PYC2:LYS4:VPH1:XKS1:CBR1:HOM3:ARO9:GDH3:ERG26:SOU1:PDC11:CBF1:C4_06860C_A:MET16:PDA1:THS1:MET14:SEC14:THR1:ERG11:SPE2:C5_00800C_A:ERV46:RIB2:PUT1:MSW1:GRP2:YNK1:GRE3:PGA56:C5_04120C_A:SAH1:C5_04360C_A:CAR1:GDE1:URA7:PUT2:PPR1:DES1:ARD:FCA1:PGK1:SUN41:ILV5:HAL22:FAD2:MCR1:GCV1:ISA1:HPD1:C6_02980C_A:ARG3:BMT4:APA2:POX1:ALA1:HBR2:GUS1:CYB5:ACB1:C7_00870W_A:YOX1:GCN2:LAT1:ECM42:CYP1:CHS1:ERG5:CYR1:C7_03350C_A:ARG4:LEU1:ADE1:ARG1:ACC1:CAB3:LAG1:ERG27:CR_01260W_A:ATP3:LYS12:PRS:MET6:URA5:BIO5:BIO4:BIO2:MET2:PHO112:PAN6:PGM2:CR_03020C_A:VHT1:CIT1:DAP1:CR_04230W_A:FUM11:PDX3:UGP1:ADE6:GUT1:VMA2:PGI1:CR_06690C_A:LSC2:SIW14:MIS11:CR_08330W_A:CR_08550W_A:PEX13:CR_09010C_A:CDG1:CR_09590W_A:CR_09670C_A:INO1:CR_10170C_A	16237:32:32581:9313:32889:6535:1900443:9089:6147:30447:463:55085:9972:9097:16239:19280:72530:6531:9113:6553:6657:51666:6814:70843:19255:6725:9082:7029:1900239:90368:1990539:19265:6071:6003:33121:7155:1903833:71470:34198:6351:6020:6228:10619:90529:31571:6616:60303:6098:96:9263:36177:8202:6679:9651:70783:72431:6530:6012:61508:9060:61610:1990355:70887:51223:2000220:19243:6631:44416:15937:46356:19571:30970:447:6863:5978:1900231:6216:6537:46777:480:1990809:9303:6260:77:42450:36187:6031:30150:19413:6011:30437:6526:7033:43486:6101:6457:7186:6110:70786:6534:46084:9168:7009:43065:6097:6998:1902404:5992:6810:6641:15964:6106:6797:32194:6424:43044:6357:46513:71456:6021:43936:9116:1900439:6543:1900445:51701:6081:44743:15833:19370:9231:45454:6754:19346:46417:6486:51180:6520:30476:6145:106035:1901522:6163:9442:413:42819:19379:9074:8152:10133:6555:48194:30010:7160:15976:45892:1766:9847:16575:32443:15886:46294:43161:1900428:1900399:46855:32515:7059:1900461:44409:1904659:31204:1905136:75308:6525:42758:43603:1904803:42866:51793:46704:9267:6644:6419:2181:46132:48193:19477:46083:6606:19547:9228:10515:2000185:42273:34276:36170:6569:71244:44407:256:6435:42867:9092:920:8655:30448:5975:6235:97428:10121:61621:10134:6099:46854:36267:15986:6078:6570:462:19674:6207:71852:15861:1900241:1902859:6744:19509:34209:42938:6487:15893:6656:6892:34221:31505:6072:6083:6178:71786:16560:34727:6536:1901089:34976:71543:46512:1902600:7265:1900429:128:19388:42776:46020:43001:6446:1905135:6592:98781:6048:7124:9086:70409:42493:71269:6189:9098:9438:7165:425:6418:42318:6874:6108:72593:16036:6571:70988:6974:6490:6006:51792:6890:2001246:7329:45944:9435:9072:6217:6281:46488:16126:48315:6567:5998:9272:1402:11:8615:15914:45836:15031:6546:46034:97080:9085:6165:9187:8295:15810:19441:1901006:98656:6038:16226:7188:6090:44182:31322:6240:6511:43605:19309:19676:6561:46495:42823:42307:48016:6914:55092:42843:30643:34599:8643:30163:1904262:60257:6796:19451:747:51292:6730:19307:6508:44208:42180:9164:6768:7346:433:9073:9257:30433:9306:19878:103:6888:1990277:45761:902:46434:35442:46087:9062:42149:1903515:9088:44255:71472:422:6562:6665:90114:6086:10468:6085:6915:19856:19752:30148:44267:9058:71930:36164:6000:7005:34622:42759:6139:6817:19655:6183:9298:42783:6506:19395:6470:122:16070:1403:32264:42939:9142:71276:44419:30436:7015:472:9090:6878:16125:15856:46185:6096:9152:19510:43709:6636:44262:42760:97316:19626:9102:31119:6102:6338:1902406:6468:33518:6559:19858:6089:32180:7035:6241:71467:34605:34356:6887:1900436:34354:36166:43967:44406:6368:71474:2:19933:9159:100002:70135:1903475:9450:6544:6696:6355:71266:5993:30003:8204:32258:6811:6104:44011:16573:42761:48309:6412:8654:6896:9636:6799:42850:1990961:1902906:36171:19427:19344:6625:16236:70183:46496:1990625:6597:6635:45893:32968:44114:42144:51156:6886:71849:2001023:46656:71216:1990181:7034:6423:16558:6433:6094:45733:51027:7163:42147:45047:30026:6066:98708:949:51211:19528:19568:6623:1900430:10045:6783:19321:9826:36180:909:45069:6164:9094:7117:71902:1901352:120113:9099:8652:90110:6171:6438:6897:105:46475:19310:6206:35690:6633:15940:16192
42221	response to chemical	"303 out of 1583 genes, 19.1%"	"958 out of 6473 background genes, 14.8%"	7.48E-05	0.00%	LEU4:C1_00330C_A:SVF1:TTR1:CNS1:C1_00830W_A:NMA111:SOD2:RPB7:HOL4:ROA1:HGT1:GSC1:MNN43:TPS2:EHT1:MNS1:PDR16:C1_03990W_A:MAD2:C1_04120C_A:RPN4:C1_04430C_A:ERG3:C1_04970W_A:C1_05330C_A:GSL1:C1_05750C_A:MSI3:PGA50:C1_06510C_A:NAA20:C1_06760C_A:CCS1:GPX3:CPH1:KSP1:PHO100:C1_07630W_A:SMI1:GCS1:CDR4:TKL1:CDC42:UPC2:MSN4:IPT1:C1_09220W_A:ADE12:C1_09840C_A:MNN23:CLA4:TPK1:C1_10340W_A:GLY1:C1_10820C_A:MRF1:LCB4:DLH1:C1_12930C_A:BNI1:TYE7:C1_13270W_A:HYR1:ACT1:LCB2:MDG1:DDI1:NDT80:CKB1:C2_00360C_A:C2_00640W_A:MXR1:HGT7:ERG28:REG1:HNM1:CTF1:C2_01920C_A:FAB1:C2_02000W_A:ZRC1:C2_02220C_A:PDR17:C2_02920W_A:EFT2:STP4:YIM1:C2_03910C_A:SSN3:C2_04490W_A:TPO5:C2_05860C_A:TES1:C2_06040C_A:RTA3:GRE2:C2_06780C_A:RCK2:C2_07140W_A:TOR1:PST2:C2_08860W_A:STB3:DDR48:C2_09860C_A:GCN4:FCY21:TIF11:C2_10850C_A:DOT5:C3_00640W_A:C3_00940W_A:FLC1:BMS1:UTP20:PMC1:C3_01260C_A:BRO1:C3_01940C_A:LAP41:APL2:CCP1:YSY6:C3_02620C_A:C3_02850C_A:KRE5:FCY2:NDE1:C3_03830W_A:C3_04120C_A:SNF5:TEC1:MAK21:SEC7:SFP1:C3_04870W_A:HGT4:RHB1:C3_05320W_A:DIE2:YCK2:C3_05680W_A:SSN8:CRZ1:C3_05840W_A:C3_05900W_A:MRR1:MNN9:TSA1:TSA1B:HST6:FCR1:C3_06860C_A:GCY1:TCC1:C3_07670W_A:SEC61:PEP7:HOF1:RLP24:C4_00530C_A:HIS5:CAS5:RLM1:C4_01840C_A:RFX2:SOD1:PGA62:AHP1:C4_02430W_A:GST2:NCP1:PYC2:C4_04090C_A:C4_05040W_A:SRB8:C4_05210W_A:VPH1:TSC2:CMD1:C4_06290W_A:C4_06710W_A:C4_06740C_A:MET16:PGA14:FET33:ERG11:C5_00800C_A:TRX2:GLR1:C5_01560C_A:HIP1:GIS2:CST20:TRR1:HSL1:GRE3:MIG1:VPS4:SUT1:C5_03150W_A:FUR1:C5_03470C_A:C5_03770C_A:C5_03940C_A:C5_04120C_A:YUH2:GDE1:GRR1:C5_04910W_A:VID27:SLY41:C6_00850W_A:QDR3:PTK2:C6_01870C_A:MCR1:IPL1:C6_02430W_A:SAP6:SAC6:MDR1:C6_03320W_A:C6_03330C_A:SAP4:SNQ2:OPT8:FLO8:HAT2:DAC1:NAG3:SOD3:HGT12:FGR2:C7_00780W_A:SSR1:C7_00870W_A:GCN2:C7_01360C_A:C7_01430C_A:PRT1:C7_01690W_A:STE18:HSP90:FMP45:YCF1:C7_02670W_A:C7_02860C_A:LIP9:PMT1:CYR1:PGA28:C7_03350C_A:C7_04140C_A:COX3A:COX3B:CR_00090C_A:NTH1:TMA19:CR_00870C_A:SLN1:ERG27:CR_01220W_A:CR_01260W_A:PTC2:SEC4:OPT1:PGA22:KAR4:GZF3:RHO1:AQY1:ERV1:SRV2:YDJ1:RON1:GPI2:RPB8:PGA39:LYP1:YCP4:SIS1:PPZ1:CR_06530W_A:ACE2:GLC7:TRM9:HSP104:GSH2:CR_08470W_A:SSY5:PDK2:ARP2:SLP3:TUB1:SSU1:CR_09670C_A:CR_09750C_A:UBC4:UTP5:LTV1:CR_10810C_A	7010:51014:16237:32:32889:30042:15749:60258:36278:1902426:45324:1903338:2000370:6043:33157:6147:70507:30447:7049:45991:31589:463:55085:48311:6116:6882:6458:16239:722:6642:42254:2000247:72530:55088:7039:8608:30174:45899:45471:7107:742:10421:1900101:7114:1990145:30968:51666:8361:10520:44774:71285:70843:1732:71444:45732:6725:43942:60583:76:71027:32220:6749:1900239:7205:19660:35719:1990539:34975:6071:7155:1903833:31929:32995:71470:61409:61402:1902935:34198:42631:1904380:32951:2001040:1900190:7127:6351:42026:90295:30466:7266:10619:46938:6267:110009:90529:30001:15848:31571:6616:60303:10570:2188:6098:70610:36177:98789:8202:70783:10507:72431:70301:30518:71963:6012:15807:9060:61610:288:723:34316:44010:1990355:61166:70887:2000220:31647:44416:1901856:2000769:110045:10691:17144:30970:447:30833:6348:6863:2182:1900231:34630:46777:480:32012:9303:6855:77:36187:34501:6873:5991:30150:6970:60237:45:10509:30437:60178:7231:70414:33120:16576:7033:43486:60196:36168:6457:7186:6750:1:1904152:32880:70786:6369:36091:8645:72710:98863:1903525:71214:43065:6676:6998:70873:1990139:1902404:16485:5992:6895:22:6810:30866:9408:6797:6106:436:43044:60304:1902917:6357:296:50801:97301:71456:45861:10527:1677:2000158:71243:36178:1900439:1900445:18106:51701:51726:44743:61400:61408:6913:27:42797:45454:71280:7052:51016:31087:6123:2001108:6486:16197:71260:30476:1903450:1901522:106035:19379:16242:349:10895:1903471:1904594:8152:6816:1731:42981:35025:30010:751:15976:97394:1900189:1766:45892:724:1905758:432:46686:9847:6614:36244:15886:10590:46294:1900428:31671:43161:2000134:42744:1990920:30473:33316:6383:33554:51017:7059:45916:16567:1900461:1904659:15723:82:30836:31204:75308:80144:6904:42758:43603:1904803:61161:51793:71970:52032:6644:36010:6986:9267:7130:140429:31065:2181:79:71218:31573:6606:10515:42273:31145:1900233:36170:71244:6378:51091:44407:6465:45943:38202:61164:920:8655:30448:72583:6513:1900102:97428:45144:6491:61407:6833:1903472:36245:46854:2000222:51457:90141:31384:6078:10768:34488:462:10106:19674:1903395:43328:6898:15861:16042:6111:51278:1900241:15851:6359:61641:48869:1900442:10971:71281:50821:34209:6487:7017:18107:15893:45053:6903:31505:18345:31321:43335:15680:34727:34503:1901089:72741:1990748:97466:6406:19430:1902600:40020:7265:1900429:709:31146:34982:1900188:19388:46020:1765:6446:42262:1903479:36003:2098:6850:10508:7124:9086:1900438:245:61692:43433:1901583:71465:42493:9098:7165:46785:2001043:44845:6874:120174:62038:72593:6883:7096:31648:70988:71497:43162:60261:31137:6974:35307:1905786:1410:51792:6890:44237:30838:7329:45944:51312:1900240:55:921:72480:6281:48315:16126:316:44837:42710:6333:1402:70525:45292:70417:43687:71483:1901901:2000767:32955:11:71712:492:15914:30950:15031:51567:6807:10731:6046:19441:7121:291:7232:10972:1990344:36176:43248:6038:70588:98849:6893:7188:35404:6090:18171:31322:1902626:44182:1903501:1080:6511:1901524:70481:35977:1904595:42148:42307:280:6906:61403:6914:1901673:61092:6366:42843:45721:1900035:2183:71466:35617:34599:8643:30163:7119:2000221:1558:1904262:61395:46354:60257:36508:62111:51438:34314:43555:15809:747:42542:6730:60627:34613:6508:6879:45041:61406:44208:61405:42180:6282:90344:15819:7346:60049:71851:433:35672:32436:6801:30433:71996:1900181:55072:51315:15903:9306:32488:103:6891:6888:6820:61709:19722:70880:1900433:1990277:51572:45761:902:9062:42149:2000251:90334:30682:6979:1900087:18105:44255:71472:422:51321:1905318:905:15718:6950:31138:1902441:6665:15695:750:10468:6915:31670:34067:60963:16540:19752:910:770:30148:188:44267:71629:98869:36164:9058:33194:338:6414:44270:70676:7005:61091:140281:43708:34622:83:34614:6139:19655:6493:6075:32956:19236:42783:45821:1904530:1904668:10499:6506:6470:72671:122:281:1403:32091:120110:52646:51654:70816:6448:1904670:71276:44419:7015:31144:2000219:472:61987:411:132:6878:15856:16125:398:1902499:10255:90267:19538:34396:45010:17196:30036:97308:43709:90266:51645:19740:10629:6270:71468:43407:16579:97316:30011:19626:42274:71406:45807:7116:1905824:6338:1903380:753:60256:1902406:52391:6468:7234:1905356:7035:1904382:71467:35103:61422:34605:6661:34356:6995:6887:71631:51668:15846:1900436:34354:321:36166:86:43967:44406:6360:7154:15883:165:289:6368:7094:71474:70413:19933:51788:435:90423:100002:35269:61411:90307:60635:44778:1903475:45841:1904498:6544:6696:10811:30846:1902412:6311:6355:749:35376:17157:51085:51228:915:5993:32465:42176:30003:32258:8204:51594:44879:44011:30488:7264:16573:282:6412:8654:1990536:6896:6857:31532:45143:3333:70193:9636:70787:2000813:1990961:36171:19344:209:45921:1901925:31507:16236:6356:61412:32527:44257:1904669:7584:1900743:1903827:1990625:7131:44571:31297:43610:43200:6413:71248:45893:32968:42144:44114:61423:70940:6886:6367:71849:2253:61077:71216:6877:7034:70370:10038:6094:70649:7163:44396:1903476:1905589:42147:45047:42546:290:35970:34389:6066:10312:98708:15847:35556:6289:56:51211:19568:6623:1900430:10045:70:44387:45948:34644:10673:36180:60213:32092:31106:31122:8360:6164:7118:61410:7117:35268:15761:45835:36246:8033:61587:32186:140209:8652:51300:6364:6171:34063:71630:106034:9749:6626:105:6897:46475:45132:32511:45842:185:45740:19310:45901:6469:90037:51316:15755:35690:6633:90339:16192
5996	monosaccharide metabolic process	"26 out of 1583 genes, 1.6%"	"43 out of 6473 background genes, 0.7%"	0.00135	0.00%	C1_02320C_A:PMM1:CPH1:ENO1:C1_11080W_A:GPM1:CDC19:C3_06860C_A:TDH3:GCY1:TPI1:FBP1:FBA1:AMS1:RGT1:C4_02620C_A:PYC2:XKS1:SOU1:GRE3:PGA56:ARD:PGK1:PGM2:PGI1:CR_08550W_A	9313:32889:30447:55085:51666:19255:6003:71470:36177:70783:6012:61610:2000220:44416:19571:5978:1900231:6011:6110:70786:5992:1900445:51701:8152:7160:15976:15886:43161:1900428:44409:1900461:42866:9267:36170:30448:61621:71852:15893:31505:34727:1900429:19388:46020:7124:7165:6874:72593:6006:7329:45944:48315:5998:15810:6090:44182:19309:6511:42843:34599:8643:747:6508:19307:1990277:42149:422:6915:6000:9298:42783:122:1403:44419:6096:1900436:44406:6696:6355:30003:32258:44011:42850:45893:44114:51156:71216:6094:7163:45047:51211:19528:19568:1900430:19321:36180:35690
43436	oxoacid metabolic process	"121 out of 1583 genes, 7.6%"	"340 out of 6473 background genes, 5.3%"	0.00413	0.00%	LEU4:C1_00410C_A:SNZ1:HOM6:LYS2:EHT1:ACS2:GPM2:ICL1:ERG3:PHO87:C1_07840W_A:C1_08490W_A:ENO1:ADE12:MLS1:GLY1:LKH1:ARO7:C1_11610C_A:C1_13030C_A:CYB2:C1_13880C_A:ARO8:MXR1:C2_01160W_A:CTF1:HOM2:BNA31:ALD5:GPM1:UGA1:LYS22:AAT1:CDC19:IDP1:C2_05980C_A:ILV1:VAS1:SPE3:ARA1:GLO2:C2_10460C_A:ETR1:C3_00640W_A:FOX2:ILV2:C3_05760W_A:LYS9:TDH3:C3_06950W_A:PRO2:TPI1:HIS4:PEX5:MET15:HIS5:ERG251:CPA1:FBA1:TYR1:MDH1-1:ARG83:VTC4:PYC2:LYS4:VPH1:HOM3:ARO9:GDH3:PDC11:CBF1:MET16:PDA1:THS1:THR1:SPE2:C5_00800C_A:PUT1:MSW1:GRP2:SAH1:CAR1:PUT2:DES1:PGK1:ILV5:FAD2:GCV1:ISA1:ARG3:POX1:ALA1:HBR2:GUS1:ACB1:GCN2:LAT1:ECM42:ARG4:LEU1:ADE1:ARG1:ACC1:LYS12:PRS:MET6:BIO5:BIO4:BIO2:MET2:PAN6:VHT1:CIT1:FUM11:PGI1:MIS11:PEX13:CR_09010C_A:CDG1:CR_10170C_A	16237:32889:6535:9089:30447:463:55085:9097:16239:19280:6531:9113:6553:51666:6814:9082:90368:19265:7155:1903833:34198:6351:31571:96:72431:6530:9060:1990355:19243:6631:44416:15937:46356:46777:6537:480:9303:77:42450:30150:19413:6526:7033:6101:6534:46084:6097:6641:6106:6797:6424:6357:43936:1900439:6543:51701:6081:19370:45454:19346:46417:51180:6520:106035:1901522:19379:42819:9074:8152:10133:6555:7160:15976:15886:43161:7059:44409:1905136:6525:42758:1904803:42866:51793:9267:6419:2181:19477:6606:19547:2000185:42273:34276:36170:6569:6435:42867:9092:30448:5975:97428:10121:61621:6099:36267:6570:462:19674:6207:71852:6744:19509:15893:6656:6083:16560:34727:6536:46512:1902600:6446:1905135:6592:98781:7124:9086:70409:6189:71269:9098:9438:6418:42318:6108:72593:6571:6006:51792:45944:9072:48315:6567:8615:6546:97080:9085:15810:8295:19441:16226:6090:44182:19676:43605:6511:6561:42823:48016:30643:34599:8643:30163:1904262:19451:6730:6508:44208:6768:9073:9257:19878:103:9062:9088:44255:71472:422:6562:6665:6086:6915:6085:19752:30148:9058:34622:42759:6139:19655:6817:6506:19395:122:71276:30436:44419:9090:46185:6096:9152:19510:6636:44262:42760:97316:19626:9102:6102:6338:6468:6559:6089:7035:32180:71467:34605:6887:34354:44406:6368:71474:2:100002:9450:6544:6696:6355:71266:32258:16573:42761:6412:6896:6799:36171:19427:19344:6625:70183:1990625:6597:6635:32968:42144:71849:46656:71216:1990181:7034:16558:6423:6433:6094:45733:7163:949:51211:10045:36180:45069:909:6164:9094:120113:9099:8652:6438:6897:105:35690:6633:15940
19752	carboxylic acid metabolic process	"117 out of 1583 genes, 7.4%"	"328 out of 6473 background genes, 5.1%"	0.00543	0.00%	LEU4:C1_00410C_A:SNZ1:HOM6:LYS2:EHT1:ACS2:GPM2:ICL1:ERG3:C1_07840W_A:C1_08490W_A:ENO1:ADE12:MLS1:GLY1:LKH1:ARO7:C1_11610C_A:C1_13030C_A:CYB2:C1_13880C_A:ARO8:MXR1:C2_01160W_A:CTF1:HOM2:BNA31:ALD5:GPM1:UGA1:LYS22:AAT1:CDC19:IDP1:C2_05980C_A:ILV1:VAS1:SPE3:ARA1:GLO2:C2_10460C_A:ETR1:C3_00640W_A:FOX2:ILV2:C3_05760W_A:LYS9:TDH3:PRO2:TPI1:HIS4:PEX5:MET15:HIS5:ERG251:CPA1:FBA1:TYR1:MDH1-1:ARG83:PYC2:LYS4:HOM3:ARO9:GDH3:PDC11:CBF1:MET16:PDA1:THS1:THR1:SPE2:C5_00800C_A:PUT1:MSW1:GRP2:SAH1:CAR1:PUT2:DES1:PGK1:ILV5:FAD2:GCV1:ISA1:ARG3:POX1:ALA1:HBR2:GUS1:ACB1:GCN2:LAT1:ECM42:ARG4:LEU1:ADE1:ARG1:ACC1:LYS12:PRS:MET6:BIO5:BIO4:BIO2:MET2:PAN6:VHT1:CIT1:FUM11:PGI1:MIS11:PEX13:CR_09010C_A:CDG1:CR_10170C_A	32889:6535:9089:30447:463:55085:9097:16239:19280:6531:9113:6553:51666:9082:90368:19265:7155:1903833:34198:6351:31571:96:72431:6530:9060:1990355:19243:6631:44416:15937:46356:46777:6537:480:9303:77:42450:30150:19413:6526:6101:6534:46084:6097:6641:6106:6424:6357:43936:1900439:6543:51701:6081:19370:45454:19346:46417:51180:6520:106035:1901522:19379:42819:9074:8152:10133:6555:7160:15976:15886:43161:7059:44409:1905136:6525:42758:1904803:42866:51793:9267:6419:2181:19477:6606:19547:42273:34276:36170:6569:6435:42867:9092:30448:5975:97428:10121:61621:6099:36267:6570:462:19674:6207:71852:6744:19509:15893:6656:6083:16560:34727:6536:46512:6446:1905135:6592:98781:7124:9086:70409:6189:71269:9098:9438:6418:42318:6108:72593:6571:6006:51792:45944:9072:48315:6567:8615:6546:9085:15810:8295:19441:16226:6090:44182:19676:43605:6511:6561:42823:34599:8643:30163:1904262:19451:6730:6508:44208:6768:9073:9257:19878:103:9062:9088:44255:422:6562:6665:6086:6915:6085:19752:30148:9058:42759:6139:19655:6506:19395:122:71276:30436:44419:9090:46185:6096:9152:19510:6636:44262:42760:97316:19626:9102:6102:6338:6468:6559:6089:32180:34605:6887:34354:44406:6368:2:100002:9450:6544:6696:6355:71266:32258:16573:42761:6412:36171:19427:19344:6625:70183:1990625:6597:6635:32968:71849:46656:71216:1990181:16558:6423:6433:6094:45733:7163:949:51211:10045:36180:45069:909:6164:9094:120113:9099:8652:6438:105:35690:6633:15940
5975	carbohydrate metabolic process	"78 out of 1583 genes, 4.9%"	"199 out of 6473 background genes, 3.1%"	0.0055	0.00%	C1_02320C_A:GSC1:PMM1:SCW4:MNN43:TPS2:MNS1:GPM2:ICL1:GSL1:PHO15:CPH1:SMI1:ENO1:MLS1:MNN23:C1_11080W_A:MNN24:DCW1:GPM1:MNN42:CDC19:ARA1:PMI1:C2_09970C_A:C2_10020C_A:FOX2:KRE5:SKN1:C3_06860C_A:TDH3:BMT1:GCY1:TPI1:FBP1:FBA1:MDH1-1:BGL2:AMS1:RGT1:C4_02620C_A:CRH11:PYC2:MNN22:GDB1:XKS1:CWH41:SOU1:PDA1:GRE3:PGA56:C5_04120C_A:GDE1:ARD:PGK1:HAL22:BMT4:C7_00150W_A:CYR1:CDA2:NTH1:BMT3:GSY1:PHO112:PGM2:RHO1:CIT1:UGP1:CR_05140W_A:GUT1:CR_06030C_A:PGI1:SIW14:HSP104:CR_08330W_A:CR_08550W_A:CHS2:INO1	32:9313:32889:30447:463:55085:51666:8361:19255:60583:1900239:34975:6071:6003:32995:71470:42026:6020:7266:10619:90529:6098:70610:36177:70783:6012:6037:9060:61610:70887:2000220:2000769:44416:46356:19571:447:5978:1900231:480:5991:60237:6011:60178:30437:70414:6101:7186:6110:32880:70786:43065:6097:5992:6021:36178:1900439:1900445:51701:6913:45454:6486:71260:30476:1903471:8152:7160:15976:1905758:9847:36244:15886:1900428:43161:31671:46855:44409:1900461:9311:75308:42866:71970:9267:71218:6606:10515:5980:42273:36170:71244:44407:42867:920:51276:30448:5975:61621:6491:6099:46854:6078:462:1903395:71852:51278:1900241:6487:15893:31505:6072:43335:34727:97466:71543:34217:7265:1900429:19388:46020:7124:71465:7165:6874:6108:72593:16036:6006:6890:7329:45944:1900240:48315:5998:9272:1402:32955:30950:15031:15810:1990344:6038:7188:6090:44182:1903501:19309:6511:35977:42843:35617:34599:8643:46354:60257:747:6508:19307:7346:433:30433:103:70880:1990277:46434:42149:9062:90334:422:6086:6915:19752:46838:36164:6000:6075:32956:9298:42783:6506:6470:122:1403:6409:44419:7015:472:6096:19538:30036:43709:44262:42760:45807:33518:34605:6887:1900436:36166:44406:70413:19933:35269:70135:60635:6696:6355:51085:5993:30003:32258:52559:44011:7264:6412:8654:6896:31532:42850:36171:6635:45893:44114:6886:51156:71216:70370:6094:45733:7163:42147:45047:42546:51211:19528:19568:1900430:19321:36180:7117:35268:70136:32186:6171:46475:19310:90037:35690
46394	carboxylic acid biosynthetic process	"63 out of 1583 genes, 4.0%"	"152 out of 6473 background genes, 2.3%"	0.00607	0.00%	LEU4:SNZ1:HOM6:LYS2:EHT1:ERG3:LKH1:ARO7:C1_11610C_A:C1_13880C_A:ARO8:MXR1:C2_01160W_A:HOM2:BNA31:ALD5:LYS22:CDC19:IDP1:ILV1:SPE3:C2_10460C_A:ETR1:ILV2:LYS9:PRO2:HIS4:PEX5:MET15:HIS5:ERG251:CPA1:LYS4:HOM3:ARO9:GDH3:CBF1:MET16:THR1:SPE2:PUT1:PUT2:DES1:ILV5:FAD2:ISA1:ARG3:HBR2:ACB1:GCN2:ECM42:ARG4:LEU1:ARG1:ACC1:LYS12:MET6:BIO5:BIO4:BIO2:MET2:PAN6:MIS11	6535:9089:30447:463:55085:9097:16239:19280:6531:9113:6553:51666:9082:19265:7155:1903833:34198:31571:96:72431:9060:1990355:6631:44416:46777:6537:9303:77:42450:30150:19413:6526:6534:46084:6357:43936:1900439:6543:19370:45454:19346:46417:51180:106035:19379:42819:9074:8152:10133:6555:43161:7059:6525:1904803:42866:51793:9267:19477:6606:34276:36170:9092:97428:61621:36267:6207:19509:15893:34727:16560:46512:6446:6592:98781:9086:70409:71269:9098:42318:6571:51792:45944:9072:6567:8615:6546:9085:8295:16226:6090:44182:19676:6511:6561:42823:34599:8643:30163:1904262:6730:6508:9073:9257:19878:103:9088:44255:422:6665:30148:42759:6139:122:30436:44419:9090:6096:6636:97316:9102:6102:6338:6468:34605:6887:34354:44406:6368:2:100002:6696:6355:71266:32258:16573:42761:6412:36171:19344:6625:1990625:6597:6635:32968:71849:46656:71216:16558:949:10045:36180:909:9094:120113:9099:8652:105:35690:6633:15940
16051	carbohydrate biosynthetic process	"30 out of 1583 genes, 1.9%"	"56 out of 6473 background genes, 0.9%"	0.00657	0.00%	GSC1:PMM1:MNN43:TPS2:MNS1:GSL1:SMI1:ENO1:MNN23:MNN24:GPM1:MNN42:KRE5:SKN1:BMT1:FBP1:FBA1:PYC2:MNN22:GDB1:CWH41:PGK1:BMT3:GSY1:PGM2:RHO1:UGP1:CR_05140W_A:PGI1:INO1	32889:30447:463:55085:51666:8361:19255:60583:32995:71470:7266:70610:2000769:44416:5978:480:5991:60237:6011:60178:32880:5992:6021:36178:51701:6913:6486:71260:30476:1903471:8152:15976:1905758:36244:43161:31671:44409:9311:71970:9267:5980:42273:36170:44407:51276:30448:6491:6078:1903395:71852:51278:6487:15893:31505:34727:97466:19388:6874:72593:6890:1900240:48315:9272:32955:30950:15031:15810:1990344:6090:44182:1903501:6511:35977:34599:8643:46354:60257:6508:19307:7346:30433:70880:42149:90334:422:6075:32956:9298:6506:44419:472:6096:30036:45807:34605:6887:70413:35269:70135:60635:6696:30003:52559:44011:7264:8654:6896:31532:6886:51156:71216:6094:7163:45047:42546:51211:36180:7117:35268:70136:32186:90037:35690
